"编号","是否增加(Y/N)","推荐级别","类别","机器/配方类型","输入","输入数量","输出/流程","输出数量","能耗或机器参数","需新增内容","实现成本","平衡风险","建议理由","注意事项"
"C011","Y","推荐","材料回收","提取机 ic2:extractor","minecraft:slime_block","1","minecraft:slime_ball","9","默认","无","仅JSON","低","把原版可逆拆分加入机器自动化","与原版合成产率相同"
"C012","Y","推荐","材料自动化","压缩机 ic2:compressor","minecraft:bone_meal","9","minecraft:bone_block","1","默认","无","仅JSON","低","与C009组成骨粉存储闭环","与原版合成产率相同"
"C013","Y","推荐","材料自动化","压缩机 ic2:compressor","minecraft:magma_cream","4","minecraft:magma_block","1","默认","无","仅JSON","低","与C010组成岩浆材料闭环","与原版合成产率相同"
"C014","Y","推荐","材料自动化","压缩机 ic2:compressor","minecraft:slime_ball","9","minecraft:slime_block","1","默认","无","仅JSON","低","与C011组成黏液存储闭环","与原版合成产率相同"
"C015","Y","可选","材料自动化","压缩机 ic2:compressor","minecraft:wheat","9","minecraft:hay_block","1","默认","无","仅JSON","低","为农场提供机器化打包路径","原版已有同产率合成"
"C016","Y","可选","材料自动化","压缩机 ic2:compressor","minecraft:dried_kelp","9","minecraft:dried_kelp_block","1","默认","无","仅JSON","低","补齐海带燃料块自动压缩","原版已有同产率合成"
"C017","Y","可选","材料自动化","压缩机 ic2:compressor","minecraft:melon_slice","9","minecraft:melon","1","默认","无","仅JSON","低","补齐西瓜农场自动打包","原版已有同产率合成"
"C018","Y","可选","材料自动化","压缩机 ic2:compressor","minecraft:prismarine_shard","4","minecraft:prismarine","1","默认","无","仅JSON","低","提供海晶碎片的机器压缩用途","原版已有同产率合成"
"C019","Y","推荐","材料回收","提取机 ic2:extractor","minecraft:sea_lantern","1","minecraft:prismarine_crystals","5","默认","无","仅JSON","中","让海晶灯可工业回收主要发光材料","不返还海晶碎片；有精准采集时可形成搬运回收但不增殖"
"C020","Y","可选","新版植物","提取机 ic2:extractor","minecraft:glow_lichen","8","minecraft:glowstone_dust","1","默认","无","仅JSON","中","给洞穴发光地衣增加工业提取用途","发光地衣可再生，等于新增可再生萤石粉路线"
"C021","Y","可选","新版植物","提取机 ic2:extractor","minecraft:shroomlight","1","minecraft:glowstone_dust","4","默认","无","仅JSON","中","下界菌光体提取为萤石粉，主题一致","菌光体可由骨粉农场获得；建议不高于4粉"
"C022","Y","可选","食物罐装","流体/固体装罐机 ic2:canner_bottle","minecraft:cake + ic2:tin_can","1 + 14","ic2:filled_tin_can","14","默认","无","仅JSON","低","现有罐头已覆盖多数1.20食物，蛋糕是明显漏项","确认机器可接受14个容器；否则拆成较低产量"
"C023","Y","实验性","食物罐装","流体/固体装罐机 ic2:canner_bottle","minecraft:pufferfish + ic2:tin_can","1 + 1","ic2:filled_tin_can","1","默认","无","仅JSON","中","补齐唯一缺失的常见鱼类食物","可能通过罐装去除河豚负面效果；若不希望解毒则不选"
"O001","Y","推荐","矿物处理","粉碎机 ic2:macerator","#minecraft:coal_ores","1","minecraft:coal：2(60%)/3(40%)","加权均值2.4","weighted=true","无","仅JSON","中","补上煤矿的工业矿物增产，产率接近时运III但需要电力","不要匹配煤炭物品本身，避免与煤粉配方冲突"
"O002","Y","推荐","矿物处理","粉碎机 ic2:macerator","#minecraft:diamond_ores","1","minecraft:diamond：2(70%)/3(30%)","加权均值2.3","weighted=true","无","仅JSON","中","让丝触矿进入IC2工业线，收益与时运附魔同量级","会降低时运镐必要性但需要丝触与机器"
"O003","Y","推荐","矿物处理","粉碎机 ic2:macerator","#minecraft:emerald_ores","1","minecraft:emerald：2(70%)/3(30%)","加权均值2.3","weighted=true","无","仅JSON","中","补齐绿宝石矿工业处理","村民交易已可再生绿宝石，因此不会成为主要增殖源"
"O004","Y","推荐","矿物处理","粉碎机 ic2:macerator","#minecraft:lapis_ores","1","minecraft:lapis_lazuli：8(60%)/12(30%)/16(10%)","加权均值10","weighted=true","无","仅JSON","中","补齐青金石矿工业处理并与红石产率同档","产量低于高等级时运峰值"
"O005","Y","推荐","矿物处理","粉碎机 ic2:macerator","#minecraft:redstone_ores","1","minecraft:redstone：8(60%)/12(30%)/16(10%)","加权均值10","weighted=true","无","仅JSON","中","补齐红石矿工业处理","红石可由女巫农场再生，主要价值是自动化而非稀缺性"
"O006","Y","强烈推荐","矿物处理","粉碎机 ic2:macerator","minecraft:nether_quartz_ore 或 #forge:ores/quartz","1","minecraft:quartz：3(60%)/4(30%)/5(10%)","加权均值3.5","weighted=true","无","仅JSON","低","下界石英是1.12以后建筑和侦测器常用材料，IC2目前未处理其矿石","优先用精确物品ID避免第三方石英矿产率失控"
"O007","Y","可选","矿物处理","粉碎机 ic2:macerator","minecraft:nether_gold_ore","1","minecraft:gold_nugget：9(60%)/12(30%)/18(10%)","加权均值11.4","weighted=true","无","仅JSON","中","比现有提取机固定9粒多一点，形成机器选择","若不希望两台机器竞争则保留现有提取机配方即可"
"O008","Y","强烈推荐","下界合金","高炉 ic2:blast_furnace","minecraft:ancient_debris","1","minecraft:netherite_scrap + ic2:slag","1 + 1","fluid=1; duration=12000","无","仅JSON","低","给远古残骸增加耗压缩空气的IC2高炉路线，不增加下界合金碎片数量","与O009并存：高炉是快速1倍路线，完整矿物链是2倍路线"
"O009","Y","实验性","下界合金链","粉碎机→洗矿机→热力离心机","minecraft:ancient_debris","1","1远古残骸→2 crushed_ancient_debris→2 purified_ancient_debris→2 minecraft:netherite_scrap；每次洗矿副产2小份金粉+下界岩粉","2","洗矿1000mB；离心minHeat=2000","新增2个中间物品及贴图/lang/tag","新物品注册+3条JSON","高","把远古残骸完整接入IC2三段矿物线，并按用户选择实现最终下界合金碎片2倍产出","与O008并存：粉碎翻倍后两份中间产物必须分别洗矿和离心"
"B001","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:beetroot","8","ic2:bio_chaff","1","默认","无","仅JSON","低","甜菜是新版基础作物但未进入IC2生物质链","与胡萝卜/马铃薯现有比例一致"
"B002","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:beetroot_seeds","16","ic2:bio_chaff","1","默认","无","仅JSON","低","补齐甜菜种子农场废料利用","与小麦/南瓜种子现有比例一致"
"B003","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:sweet_berries","8","ic2:bio_chaff","1","默认","无","仅JSON","低","补齐针叶林浆果农场","产率按普通作物"
"B004","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:glow_berries","8","ic2:bio_chaff","1","默认","无","仅JSON","低","补齐洞穴藤蔓浆果农场","和C020不会直接成环"
"B005","Y","强烈推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:kelp","8","ic2:bio_chaff","1","默认","无","仅JSON","低","海带是1.13后最典型的自动化生物质来源","若觉得海带农场过强可改为16个"
"B006","Y","可选","生物质兼容","粉碎机 ic2:macerator","minecraft:dried_kelp","8","ic2:bio_chaff","1","默认","无","仅JSON","低","允许多余干海带转生物质","通常B005已足够，可不重复加入"
"B007","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:bamboo","8","ic2:bio_chaff","1","默认","无","仅JSON","低","竹子可在提取机做木棍，也可在粉碎机做生物质，提供机器分流","竹子农场高产；可改为16个"
"B008","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:mangrove_roots","4","ic2:bio_chaff","1","默认","无","仅JSON","低","红树根目前缺少工业用途","按树苗类4个计"
"B009","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:azalea 或 minecraft:flowering_azalea","4","ic2:bio_chaff","1","默认","无","2条JSON","低","杜鹃不一定包含在minecraft:saplings物品tag中，单独补齐","若实测已被saplings tag覆盖则删除"
"B010","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:torchflower_seeds","16","ic2:bio_chaff","1","默认","无","仅JSON","低","补齐1.20嗅探兽种子","与其他种子比例一致"
"B011","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:pitcher_pod","16","ic2:bio_chaff","1","默认","无","仅JSON","低","补齐1.20瓶子草荚果","与其他种子比例一致"
"B012","Y","可选","生物质兼容","粉碎机 ic2:macerator","minecraft:torchflower","8","ic2:bio_chaff","1","默认","无","仅JSON","低","让成株嗅探兽植物也能回收","与D003橙色染料路线形成机器选择"
"B013","Y","可选","生物质兼容","粉碎机 ic2:macerator","minecraft:pitcher_plant","4","ic2:bio_chaff","1","默认","无","仅JSON","低","瓶子草为双格植物，按4个产1糠","与D008青色染料路线形成机器选择"
"B014","Y","推荐","生物质兼容","粉碎机 ic2:macerator","minecraft:crimson_roots / warped_roots / nether_sprouts / weeping_vines / twisting_vines","8","ic2:bio_chaff","1","默认","无","5条JSON","低","补齐1.16下界植物的工业用途","若强调现实感可将输出改为ic2:ashes而非生物糠"
"B015","Y","可选","生物质兼容","粉碎机 ic2:macerator","minecraft:moss_block 或 minecraft:moss_carpet","2块或8地毯","ic2:bio_chaff","1","默认","无","2条JSON","中","将1.17苔藓骨粉农场接入生物质系统","苔藓极易全自动，产率不宜更高"
"D001","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:poppy / red_tulip / beetroot","1","minecraft:red_dye","2","默认","无","3条JSON","低","机器提取将普通红色染料产量翻倍","与粉碎机甜菜生物糠形成机器选择"
"D002","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:rose_bush","1","minecraft:red_dye","4","默认","无","仅JSON","低","双格花按普通花两倍产量","骨粉可再生，属于自动化收益"
"D003","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:orange_tulip / torchflower","1","minecraft:orange_dye","2","默认","无","2条JSON","低","补齐1.20火把花染料与普通橙花","火把花原版只产1染料"
"D004","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:dandelion","1","minecraft:yellow_dye","2","默认","无","仅JSON","低","统一普通花双倍提取规则","无"
"D005","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:sunflower","1","minecraft:yellow_dye","4","默认","无","仅JSON","低","统一双格花四倍提取规则","无"
"D006","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:sea_pickle","1","minecraft:lime_dye","2","默认","无","仅JSON","低","海泡菜目前只能烧炼成1染料，提取机更合理","省去燃料并提高产率"
"D007","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:cactus","1","minecraft:green_dye","2","默认","无","仅JSON","低","给提取机增加仙人掌染料路线","与粉碎机8仙人掌做生物糠形成机器选择"
"D008","Y","强烈推荐","染料提取","提取机 ic2:extractor","minecraft:pitcher_plant","1","minecraft:cyan_dye","4","默认","无","仅JSON","低","1.20瓶子草原版已产2青色染料，机器按双倍规则产4","最直接的1.20兼容配方之一"
"D009","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:blue_orchid","1","minecraft:light_blue_dye","2","默认","无","仅JSON","低","统一普通花双倍提取规则","无"
"D010","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:cornflower","1","minecraft:blue_dye","2","默认","无","仅JSON","低","提供不消耗青金石的机器染料路线","矢车菊可再生"
"D011","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:allium","1","minecraft:magenta_dye","2","默认","无","仅JSON","低","统一普通花双倍提取规则","无"
"D012","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:lilac","1","minecraft:magenta_dye","4","默认","无","仅JSON","低","统一双格花四倍提取规则","无"
"D013","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:pink_tulip","1","minecraft:pink_dye","2","默认","无","仅JSON","低","统一普通花双倍提取规则","无"
"D014","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:peony","1","minecraft:pink_dye","4","默认","无","仅JSON","低","统一双格花四倍提取规则","无"
"D015","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:lily_of_the_valley","1","minecraft:white_dye","2","默认","无","仅JSON","低","补齐白色花染料提取","不建议直接用骨粉翻倍，以免影响骨粉经济"
"D016","Y","推荐","染料提取","提取机 ic2:extractor","minecraft:azure_bluet / oxeye_daisy / white_tulip","1","minecraft:light_gray_dye","2","默认","无","3条JSON","低","统一三种淡灰花的提取规则","注意白色郁金香原版产淡灰而非白色"
"D017","Y","可选","染料提取","提取机 ic2:extractor","minecraft:wither_rose 或 minecraft:ink_sac","1","minecraft:black_dye","2","默认","无","2条JSON","低","增加黑色染料的机器提取途径","墨囊路线比原版多1染料但不影响其他产物"
"D018","Y","可选","染料提取","提取机 ic2:extractor","minecraft:cocoa_beans","1","minecraft:brown_dye","2","默认","无","仅JSON","低","增加棕色染料机器提取途径","可可豆同时是食材，形成用途选择"
"M001","Y","推荐","分子转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:dirt","1","minecraft:mud","1","50000 EU","无","仅JSON","低","补齐1.19泥巴，和现有泥土转黏土同能耗档","原版水瓶也可低成本制作，主要价值是自动化"
"M002","Y","强烈推荐","分子转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:sand","1","minecraft:red_sand","1","100000 EU","无","仅JSON","低","提供可再生红沙，解决恶地资源有限问题","现有沙→砂砾仍并存"
"M003","Y","强烈推荐","地质链","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:cobbled_deepslate","1","minecraft:tuff","1","100000 EU","无","仅JSON","低","把1.17地质材料接入重组仪","建议与M004/M005作为一组"
"M004","Y","强烈推荐","地质链","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:tuff","1","minecraft:calcite","1","250000 EU","无","仅JSON","低","让有限分布的方解石可工业获得","建议与M003/M005作为一组"
"M005","Y","推荐","地质链","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:calcite","4","minecraft:amethyst_block","1","2000000 EU","无","仅JSON","中","完成深板岩→凝灰岩→方解石→紫水晶的新版地质链","输入4方解石避免一比一资源跃迁过强"
"M006","Y","推荐","下界地质","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:basalt","1","minecraft:blackstone","1","100000 EU","无","仅JSON","低","补齐1.16下界岩石转换","两者均可再生/大量获取"
"M007","Y","可选","下界地质","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:blackstone","4","minecraft:obsidian","1","500000 EU","无","仅JSON","中","用高压重组概念把黑石烧结为黑曜石","黑曜石本已可再生，主要是自动化路径"
"M008","Y","推荐","下界地质","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:obsidian","1","minecraft:crying_obsidian","1","1000000 EU","无","仅JSON","低","与IC2现有提取机哭泣黑曜石→黑曜石形成耗能可逆链","不会增殖，仅提供装饰材料"
"M009","Y","可选","下界地质","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:soul_sand","1","minecraft:soul_soil","1","100000 EU","无","仅JSON","低","提供灵魂土自动化来源","材料价值接近"
"M010","Y","可选","下界地质","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:netherrack","4","minecraft:basalt","1","250000 EU","无","仅JSON","低","将下界岩压制为玄武岩，丰富地质链入口","输入4避免与现有廉价下界岩配方形成过强资源转换"
"M011","Y","推荐","晶体转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:glass","4","minecraft:quartz","1","500000 EU","无","仅JSON","中","提供主世界玻璃到下界石英的硅质转化","会让石英可通过沙子再生；能耗不宜低于50万"
"M012","Y","可选","晶体转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:prismarine_crystals","4","minecraft:amethyst_shard","1","500000 EU","无","仅JSON","低","为海洋材料增加晶体转化用途","紫水晶本已可再生，主要是主题性"
"M013","Y","可选","发光材料","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:glowstone","1","minecraft:shroomlight","1","500000 EU","无","仅JSON","低","在两种下界发光方块间转化，补充建筑材料","若选择C021则形成耗能反向回收但不会增殖"
"M014","Y","推荐","有机转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:rotten_flesh","4","minecraft:leather","1","250000 EU","无","仅JSON","低","常见科技模组的腐肉净化路线，解决皮革自动化","输入4可抑制刷怪塔产量"
"M015","Y","推荐","末地转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:popped_chorus_fruit","4","minecraft:ender_pearl","1","1000000 EU","无","仅JSON","中","把末地植物转成末影珍珠，建立末地资源链","与M016组合后可再生潜影壳"
"M016","Y","可选","末地转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:ender_pearl","4","minecraft:shulker_shell","1","25000000 EU","无","仅JSON","高","提供高耗能可再生潜影壳，适合量子阶段","明显降低潜影贝农场/探索需求；建议保持2500万以上"
"M017","Y","推荐","探索资源","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:nautilus_shell","8","minecraft:heart_of_the_sea","1","50000000 EU","无","仅JSON","中","让有限的海洋之心可在后期由可再生鹦鹉螺壳制造","保留8壳的导管主题并收取高能耗"
"M018","Y","实验性","探索资源","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:phantom_membrane","16","minecraft:elytra","1","250000000 EU","无","仅JSON","高","为多人服务器提供后期鞘翅再生途径","会削弱末地船探索；建议默认不选或用配置开关"
"M019","Y","可选","探索资源","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:sculk_catalyst","8","minecraft:echo_shard","1","50000000 EU","无","仅JSON","中","让有限的回响碎片可后期再生且仍要求深暗资源","若希望保留古城唯一性则不选"
"M020","Y","实验性","方块获取","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:amethyst_block","1","minecraft:budding_amethyst","1","25000000 EU","无","仅JSON","高","允许生存模式移动/再造紫水晶母岩，适合科技后期","会改变原版母岩不可获取的设计；建议配置开关"
"M021","Y","可选","下界合金","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:diamond","1","minecraft:netherite_scrap","1","25000000 EU","无","仅JSON","高","用4钻石+1亿EU折算1下界合金锭，为和平/资源枯竭服务器提供替代","会绕过远古残骸探索；与O008/O009可并存但建议谨慎"
"M022","Y","实验性","金属转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:copper_ingot","1","minecraft:gold_ingot","1","2000000 EU","无","仅JSON","高","经典炼金式金属嬗变并消耗大量EU","铜可自动农场，等于新增可再生金源；默认不建议开启"
"M023","Y","实验性","宝石转化","分子重组仪 advanced_solar_panels_refactored:molecular_transforming","minecraft:emerald","1","minecraft:diamond","1","12000000 EU","无","仅JSON","高","为分子重组仪增加直观宝石嬗变","村民交易可大量产绿宝石，可能绕过钻石采矿；默认不建议开启"
"I001","Y","推荐","新中间产物","切割机 + 替代工作台配方","minecraft:amethyst_block","1","advanced_solar_panels_refactored:crystalline_solar_lens；并新增辐照玻璃板替代配方（中心用该透镜替代钻石）","4透镜","block_cutter hardness=4","新增crystalline_solar_lens物品/贴图/本地化","Java注册+模型贴图+2条JSON","低","紫水晶透镜非常贴合太阳能主题，并让1.17紫水晶进入附属模组主进度","保留原钻石配方；透镜替代配方只是额外入口"
"I002","Y","可选","新中间产物","金属成型机 + 替代工作台配方","minecraft:netherite_ingot","1","netherite_plate；4板可在强化铱铁板替代配方中替换4块碳板并一次产2块强化铱铁板","1板","metal_former_rolling","新增netherite_plate物品/贴图/forge:plates/netherite tag","Java注册+模型贴图+2条JSON+tag","中","把1.16下界合金接入终局太阳能材料链，而不是只做装备升级","产2块用于补偿昂贵投入；若不想新增中间物品可不选"
"T001","Y","强烈推荐","跨模组标签","Forge物品tag","advanced_solar_panels_refactored:iridium_ingot","1","加入 #forge:ingots/iridium","-","-","新增tag JSON","仅tag JSON","低","让其他1.20.1模组能识别附属模组铱锭","先检查IC2自身ic2:iridium究竟属于锭还是通用铱材料，避免错误等价"
"T002","Y","强烈推荐","跨模组标签","Forge物品tag","advanced_solar_panels_refactored:uranium_ingot","1","加入 #forge:ingots/uranium","-","-","新增tag JSON","仅tag JSON","低","让其他1.20.1模组能识别附属模组铀锭","核燃料配方仍应区分普通铀锭与浓缩铀"
"T003","Y","推荐","配方兼容","批量调整现有工作台配方","现有硬编码minecraft:iron_ingot/gold_ingot/diamond/glass等","-","在语义明确处改用 #forge:ingots/iron、#forge:ingots/gold、#forge:gems/diamond、#forge:glass","-","-","若干tag引用","修改现有JSON","低","提高与其他1.20.1材料模组的互操作性","只替换真正可互换的材料；机器本体、太阳能板和核材料不要泛化"
